gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Med12l	641.0665355376716	-0.41212996670435526	0.08364708085880791	-4.927009555778881	8.349767282451998e-7	1.7108682228725574e-4	het_vs_wt
Tceal5	1156.2989348018884	0.32337084729956045	0.06563987510936123	4.926439100635079	8.374169586887332e-7	1.7108682228725574e-4	het_vs_wt
Ogt	4885.9417459882225	-0.29172480103926346	0.05921355279049708	-4.926655930803752	8.364886183100932e-7	1.7108682228725574e-4	het_vs_wt
Chd9	1120.6291900049644	-0.4717166363422121	0.09584354240095626	-4.921736243520833	8.577977151989956e-7	1.7263499092154115e-4	het_vs_wt
Whsc1l1	1878.9562940814808	-0.2541472344736806	0.05170808701798937	-4.915038423008419	8.87650488678331e-7	1.760158704314502e-4	het_vs_wt
Klhl11	221.8514605234158	-0.657341158336947	0.1341378071082198	-4.900491311943223	9.559728546751067e-7	1.782192137762453e-4	het_vs_wt
Kmt2a	4387.927708650104	-0.5022072207376007	0.10256723700128109	-4.89637076536758	9.762279821719866e-7	1.782192137762453e-4	het_vs_wt
Nek1	728.4155166772819	-0.3805955363875523	0.0777359967932864	-4.896001236076285	9.780645075231497e-7	1.782192137762453e-4	het_vs_wt
Fyco1	1399.2823476960148	-0.37334814894471285	0.07619622266932166	-4.899824897685267	9.59221055050025e-7	1.782192137762453e-4	het_vs_wt
Fubp1	1546.0984057607898	-0.3114905560029264	0.06358624963640802	-4.898709355938711	9.64682161230443e-7	1.782192137762453e-4	het_vs_wt
Nudt18	817.6509545471989	0.28158464999958027	0.05745458760047114	4.900995059918787	9.535245437291127e-7	1.782192137762453e-4	het_vs_wt
Lnpep	43.5288559135277	-0.6725800591372263	0.13752646903599627	-4.890549898152222	1.005546632601207e-6	1.8078387725326234e-4	het_vs_wt
Irs2	1196.9012175106006	-0.5968245182705583	0.12221816195370887	-4.883271919083601	1.0433982539366843e-6	1.8126343624260817e-4	het_vs_wt
Hook1	929.6441634023313	-0.41096821251800386	0.08417508244713437	-4.882302464938004	1.0485425709673271e-6	1.8126343624260817e-4	het_vs_wt
Nfat5	1432.7659091718747	-0.37917275693895747	0.07765236751926159	-4.882951660744974	1.0450949818269374e-6	1.8126343624260817e-4	het_vs_wt
Ranbp2	1474.2076604071044	-0.4021199353139733	0.08280425455845505	-4.856271425402419	1.196167127416699e-6	2.0161396932608463e-4	het_vs_wt
Bicd2	2382.2401645691416	-0.25123186480054477	0.05172068721058851	-4.857473447280711	1.188930750383895e-6	2.0161396932608463e-4	het_vs_wt
Fam135b	121.93436754230675	-0.6652317352238422	0.13721097790796938	-4.848239881141498	1.2456172311762632e-6	2.0479659233248776e-4	het_vs_wt
Oprl1	769.9226179589645	0.33375757053914684	0.0688311107811197	4.848934831234718	1.2412618822032848e-6	2.0479659233248776e-4	het_vs_wt
Actr3b	1639.2450616082074	0.2877480083977438	0.05938011563428672	4.84586473643704	1.2606138507561913e-6	2.0479659233248776e-4	het_vs_wt
Osbpl8	969.7739324408851	-0.5107445504823762	0.10563564249321696	-4.834964207418647	1.3316959431993565e-6	2.1376890592976337e-4	het_vs_wt
Zfp292	503.06904543686625	-0.4299193096632122	0.08953427791196297	-4.801728675200152	1.5730173754800685e-6	2.495360740114499e-4	het_vs_wt
Tmem181b-ps	2346.2320911582724	-0.5025129376487995	0.10485873747835	-4.792284837041381	1.648925716438531e-6	2.579934636687117e-4	het_vs_wt
Csmd1	1538.4453238937326	-0.39229547684825816	0.081892226335761	-4.790387249210114	1.6645973998203738e-6	2.579934636687117e-4	het_vs_wt
Soat1	232.5451085788156	-0.4524127104239565	0.09451323526851901	-4.786765675078405	1.6949052783904764e-6	2.5970571333883163e-4	het_vs_wt
2410089E03Rik	1422.1352784641604	-0.3032882004345157	0.06365160416910032	-4.76481629007784	1.8902579113252643e-6	2.8638469299224566e-4	het_vs_wt
Marf1	1983.1460091606646	-0.33243382405363453	0.07001543811737118	-4.748007482240635	2.0543043838703046e-6	3.077804479123021e-4	het_vs_wt
Zbtb40	471.1614754702909	-0.4230883546364691	0.08921075167069283	-4.742571346088775	2.1102247379903276e-6	3.126842897479294e-4	het_vs_wt
Bmp2k	232.74823721512152	-0.5028490553308954	0.1064924511120552	-4.721922071281649	2.3362620332538734e-06	3.424147527869046e-4	het_vs_wt
Chd2	1506.1890018909855	-0.2926275203935157	0.062035509067999255	-4.7170971076058485	2.3923352155903323e-6	3.46862882226022e-4	het_vs_wt
Uhmk1	460.89236353481357	-0.6328698173860754	0.13433908980395942	-4.710987831684882	2.4651895671915994e-6	3.4990122235801607e-4	het_vs_wt
Vps13c	782.8463274609896	-0.518165996531575	0.10996990409920841	-4.711889137087144	2.4543089550032377e-6	3.4990122235801607e-4	het_vs_wt
Fgd4	271.38324049902656	-0.5579375931770388	0.11862806358799582	-4.703251290645677	2.5605095412802007e-6	3.596449026523149e-4	het_vs_wt
5530601H04Rik	142.15267869807445	-0.5012966467034722	0.10681359829614079	-4.693191266842512	2.6897579245344243e-6	3.703543679439956e-4	het_vs_wt
Ltn1	927.168615566298	-0.4336332075002685	0.09239912458161197	-4.693044544131584	2.691688524066417e-6	3.703543679439956e-4	het_vs_wt
Zfp329	458.59715798902005	-0.42839446905432177	0.09137607507969933	-4.6882564027911124	2.755426505690914e-6	3.752946565932958e-4	het_vs_wt
Slc9a7	112.4576606142732	-0.6454022548161743	0.13783064850759325	-4.682574317138313	2.8329442758469646e-6	3.786673355761548e-4	het_vs_wt
Ptpn4	111.82180772202695	-0.6453913454610132	0.13786495628703113	-4.681329924896402	2.850198033850365e-6	3.786673355761548e-4	het_vs_wt
Zhx2	383.19911210999896	-0.4658358887776065	0.09953102419472962	-4.680308401792509	2.8644369792915894e-6	3.786673355761548e-4	het_vs_wt
Nr2e1	358.3469246534897	-0.40319284498498525	0.08623920830228068	-4.675284628909591	2.9354620033581073e-6	3.8086768835265397e-4	het_vs_wt
Prr14l	967.2200248812454	-0.3470321399812416	0.07422929729242088	-4.675137077131875	2.9375733898454473e-6	3.8086768835265397e-4	het_vs_wt
Baz2b	630.446923441473	-0.4152492462720218	0.08887525503442205	-4.672270657464698	2.978880563028912e-6	3.825450048750653e-4	het_vs_wt
Lats1	504.59038726926394	-0.35531392304647297	0.07623134173147632	-4.66099526751163	3.1468396018439193e-6	4.0030174708739064e-4	het_vs_wt
Fbxo34	1483.902786930808	0.38323553052651477	0.08230605890141092	4.656225017231936	3.2205993657145518e-6	4.0585571819901886e-4	het_vs_wt
P4ha1	914.3632222249969	-0.40874328800210774	0.08789121497082769	-4.650559081903411	3.3103639071896055e-6	4.1330506411615405e-4	het_vs_wt
Itgb8	190.57631837078156	-0.6344550890680513	0.13718997340906633	-4.6246461990065715	3.7523834113403526e-6	4.641939258579203e-4	het_vs_wt
Folh1	69.14857715530327	-0.5845167115666303	0.12649629224602044	-4.620820904614453	3.8222462805082915e-6	4.6853789860339817e-4	het_vs_wt
Homer1	1829.8143201115224	-0.5105182237179726	0.11071072007938303	-4.611280852946447	4.001954091366168e-6	4.8614728799983246e-4	het_vs_wt
Uba6	228.54510428944175	-0.46223801535768644	0.10037870762952415	-4.60494089108724	4.125830323864676e-6	4.967205007767079e-4	het_vs_wt
Cys1	147.86116420367844	-0.5150466171876543	0.11196357063019352	-4.600126758093586	4.222339284237392e-6	5.038409106960796e-4	het_vs_wt
Slc4a7	257.0116814846822	-0.5160467552874626	0.11251509283971832	-4.586466955349619	4.5080971594974324e-6	5.332208956023104e-4	het_vs_wt
Vps13a	922.0574756380356	-0.43476270976408776	0.09492044905053698	-4.580285008266385	4.6434272152881975e-6	5.351450647089407e-4	het_vs_wt
Vps37a	774.3300589690233	-0.32971111388582003	0.07197474328759423	-4.580927959247754	4.629172968563779e-6	5.351450647089407e-4	het_vs_wt
Ubr4	7023.492102448968	-0.2957384645868583	0.0645505117297753	-4.581504571565505	4.616425112370961e-6	5.351450647089407e-4	het_vs_wt
Hmbox1	376.6552075886598	-0.5121316760545146	0.1121890417831524	-4.5648992799528685	4.997342101417844e-6	5.442742671947746e-4	het_vs_wt
Shc3	393.1509985586483	-0.48308998855495244	0.10569615837873816	-4.570553896802089	4.8643679273347014e-6	5.442742671947746e-4	het_vs_wt
Unc80	4787.437548197665	-0.48228358300002183	0.10565805411923565	-4.56456998967407	5.005192015140319e-6	5.442742671947746e-4	het_vs_wt
Rock1	354.6081679551149	-0.4009014333917224	0.08778824114519646	-4.566687157208852	4.954926467581997e-6	5.442742671947746e-4	het_vs_wt
Lrch3	777.5542169298257	-0.3522168754534457	0.07715785164151998	-4.564887020051653	4.997634152388172e-6	5.442742671947746e-4	het_vs_wt
Srsf6	2134.3820310982173	-0.26926448161263816	0.05893901994088842	-4.568526620949771	4.91164693896072e-6	5.442742671947746e-4	het_vs_wt
Ppm1g	1676.611974915602	0.22900396960505426	0.05011379028466714	4.569679689047996	4.88470201882878e-6	5.442742671947746e-4	het_vs_wt
